12;31
14;29
16;27
14;28
11;28
16;26
10;30
17;28
13;26
15;29
13;29
12;30
14;27
12;27
15;26
14;26
16;20
15;20
17;21
16;22
15;19
17;20
13;18
15;21
16;21
14;17
13;21
9;22
12;19
14;19
12;18
11;22
11;20
14;22
10;26
14;25
18;23
16;24
10;24
11;24
13;23
12;26
16;23
11;23
9;24
4;25
7;24
7;20
7;26
8;24
5;25
6;23
4;22
7;27
3;21
5;24
8;23
7;21
7;22
8;25
6;26
11;25
9;26
2;16
2;17
3;17
1;16
1;15
3;18
3;16
4;16
3;15
4;17
0;18
5;17
2;15
0;16
3;19
3;13
3;14
2;14
0;14
1;14
2;13
3;12
0;15
5;15
4;15
4;14
2;19
2;18
5;19
1;18
4;18
5;18
5;20
6;18
9;19
8;19
9;20
11;18
10;19
9;21
9;18
5;16
6;16
7;16
6;17
7;17
7;18
8;16
7;19
7;15
7;14
6;19
1;19
9;10
9;11
8;11
8;10
9;9
10;10
8;9
8;12
11;12
9;8
10;9
10;11
7;11
10;12
10;13
8;13
7;12
9;14
11;13
12;16
13;13
13;14
13;16
12;15
10;16
14;16
5;12
2;12
6;14
6;10
4;9
4;11
4;12
5;13
5;11
6;12
6;13
2;9
3;10
1;11
2;11
2;8
8;8
6;8
7;7
8;7
7;10
7;8
5;7
9;7
9;6
4;7
7;9
6;9
5;9
8;6
5;8
4;8
6;7
8;5
6;11
5;6
11;5
10;5
12;5
13;5
11;6
12;6
11;7
10;7
12;7
14;7
13;9
15;5
14;6
7;5
8;4
9;4
9;5
11;11
10;4
11;8
11;10
11;4
10;6
11;9
13;6
6;2
6;3
5;3
7;4
9;3
8;2
10;2
10;1
6;1
7;1
12;4
13;7
10;3
14;4
13;4
13;2
12;1
13;1
11;2
19;5
19;3
21;1
24;3
24;1
19;1
19;4
21;2
19;6
21;3
20;4
18;3
18;0
17;2
20;1
22;3
20;2
18;5
19;2
22;1
18;2
23;1
18;1
22;4
26;4
23;6
25;5
27;5
21;5
22;5
26;5
25;6
24;4
22;6
23;5
20;8
21;6
22;9
19;8
24;7
20;7
21;9
22;7
22;8
22;10
17;10
20;10
17;12
21;12
16;10
19;10
16;12
18;9
20;12
19;12
19;11
18;11
21;11
16;7
17;9
17;8
18;8
16;8
17;7
16;9
19;9
21;8
16;11
18;7
17;6
10;8
15;11
14;10
12;8
14;11
15;12
17;11
15;9
12;9
13;10
15;10
14;9
17;3
16;1
15;1
14;2
18;4
16;3
16;4
15;3
14;3
13;0
17;1
15;2
16;5
15;0
3;7
3;8
3;9
1;9
4;6
2;10
26;21
23;21
30;18
30;20
25;21
27;23
28;19
26;17
23;22
29;22
25;23
28;17
29;20
23;23
24;20
21;24
29;18
26;19
28;24
22;28
19;26
25;26
22;27
25;29
18;27
27;27
19;25
24;14
24;13
25;15
22;12
23;14
28;15
29;16
31;16
26;16
28;14
22;16
23;16
24;17
22;18
21;17
20;20
18;22
22;17
19;20
21;15
17;18
21;20
19;17
20;17
20;18
20;22
24;18
18;15
21;14
20;14
16;13
19;15
15;16
16;17
15;14
16;16
17;16
15;13
16;14
17;15
18;12
17;14
20;15
18;13
19;13
20;13
21;13
19;14
23;15
